OBJECTID;ZONE_ID;ZONE_TYPE;NAAM;OMSCHRIJVING;GEOGRAPHY_ID;GEOGRAPHY_TYPE;STARTDATUM;PUBLICATIEDATUM;EINDDATUM;CAPACITEIT_AUTO;CAPACITEIT_SCOOTER;CAPACITEIT_BAKFIETS;CAPACITEIT_FIETS;CAPACITEIT_MIX;geo_shape;geo_point_2d
2568;53475;Digitale Hub;Fensterrein;11.112.3a.1027: 37 Fensterrein;c370bde4-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.4765022064137465, 51.43738674108899], ""type"": ""Point""}";51.43738674108899, 5.4765022064137465
2569;53448;Digitale Hub;Eindje;11.111.2.1031: 4 Eindje 1;6b0ae3fa-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.475541492596294, 51.44255301111415], ""type"": ""Point""}";51.44255301111415, 5.475541492596294
2570;53449;Digitale Hub;Eindje;11.111.2.1038: 5 Eindje 2;7112c01a-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;;;;;10;"{""coordinates"": [5.476193993255698, 51.442569510780245], ""type"": ""Point""}";51.442569510780245, 5.476193993255698
2580;53489;Digitale Hub;Oude Stadsgracht;11.111.2.1041: 53a Vestdijk;e28ce7f2-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.483530493321538, 51.436305511144305], ""type"": ""Point""}";51.436305511144305, 5.483530493321538
2584;53488;Digitale Hub;Smalle Haven;11.111.2.1040: 53 Vestdijk;dfd9483e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.48414599414039, 51.43645451069702], ""type"": ""Point""}";51.43645451069702, 5.48414599414039
2585;53491;Digitale Hub;Vestedatoren;11.111.2.1043: 54 Vestdijk;e92f5356-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.482819493545852, 51.43725501097096], ""type"": ""Point""}";51.43725501097096, 5.482819493545852
2590;58510;Fysieke Hub;Lodewijk Napoleonplein;61.611.3c.0014: Hub;6919cede-48fa-11ef-a21a-8e54a72a50da;stop;2024-06-07T04:00:00Z;2024-05-31T04:00:00Z;;1;4;1;5;;"{""coordinates"": [5.467589445403945, 51.43718462930906], ""type"": ""Point""}";51.43718462930906, 5.467589445403945
2591;53389;Fysieke Hub;WoensXL West;51.515.2.0008: Hub WoensXL;92975d8c-641a-11ee-a2a6-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;20;;20;;"{""coordinates"": [5.473248233730035, 51.46977810923367], ""type"": ""Point""}";51.46977810923367, 5.473248233730035
2578;53493;Digitale Hub;Kanaalstraat;11.111.2.1045: 55b Kanaalstraat;ed5e9126-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;;;;10;"{""coordinates"": [5.484990494042946, 51.43761051115982], ""type"": ""Point""}";51.43761051115982, 5.484990494042946
2592;53388;Fysieke Hub;Wolvendijk;33.335.2.0001: Hub Wolvendijk;9010a08c-641a-11ee-801c-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;10;;12;;"{""coordinates"": [5.525037843324615, 51.45436885992933], ""type"": ""Point""}";51.45436885992933, 5.525037843324615
2594;53453;Digitale Hub;Raiffeisenstraat;11.111.2.1005: 16b Raiffeisenstraat;8abc68c2-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;4;0;4;;"{""coordinates"": [5.480989494276158, 51.440411511490055], ""type"": ""Point""}";51.440411511490055, 5.480989494276158
2605;53459;Digitale Hub;Augustijnenkerk;11.111.2.1012: 18 Pullman;a1401eae-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;10;0;10;;"{""coordinates"": [5.483056994192333, 51.43849301093], ""type"": ""Point""}";51.43849301093, 5.483056994192333
2606;53462;Digitale Hub;Stationsplein;11.111.2.1014: 21a Stationsplein zuidzijde;a75a8d74-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;20;0;0;;"{""coordinates"": [5.478852993895617, 51.44219301119012], ""type"": ""Point""}";51.44219301119012, 5.478852993895617
2607;53463;Digitale Hub;Stationsplein - Bijenkorf;11.111.2.1015: 21b Vestdijktunnel;a95fd3ea-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:00:00Z;2024-07-23T15:00:00Z;;0;10;0;0;;"{""coordinates"": [5.4779784931703706, 51.44216451109039], ""type"": ""Point""}";51.44216451109039, 5.4779784931703706
2609;53498;Fysieke Hub;Neckerspoel;11.111.2.0003: 8 Hub Neckerspoel;f92bb93e-641b-11ee-a2f3-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;10;;0;;"{""coordinates"": [5.478037493572848, 51.44336501145089], ""type"": ""Point""}";51.44336501145089, 5.478037493572848
2610;53508;Fysieke Hub;P+R Genneper Parken;2.226.2.0005: Hub P+R Genneper Parken;c483af20-642a-11ee-8517-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;0;30;0;30;;"{""coordinates"": [5.479989356672704, 51.4078081398172], ""type"": ""Point""}";51.4078081398172, 5.479989356672704
2612;55010;Fysieke Hub;Havensingel;21.211.3c.0011: Hub Havensingel;abad7d3c-be93-11ee-8334-5263e3f30f1e;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;1;4;1;5;;"{""coordinates"": [5.488391394019675, 51.43655821067217], ""type"": ""Point""}";51.43655821067217, 5.488391394019675
2613;53387;Fysieke Hub;P+R Meerhoven;63.633.2.0009: Hub P+R Meerhoven;8d7ef440-641a-11ee-a2a6-c602c1905375;stop;2024-07-23T15:37:00Z;2024-07-23T15:37:00Z;;;20;;20;;"{""coordinates"": [5.423618286745082, 51.43573391063202], ""type"": ""Point""}";51.43573391063202, 5.423618286745082
