driver_id,model,ac_kW,annual_km,annual_kWh,sessions,location,plugin_hour,window_h,has_solar,pv_kwp,cost_fix,cost_unc,cost_po,cost_sm,cost_sm_ext,peak_kwh_unc,peak_kwh_sm,peak_kwh_sm_ext,sc_kwh_total,solar_value_total,ere_revenue_ext,ere_revenue_grid_only,value_baseline_smart,value_extended
41,BMW iX1,11.0,12606.183478349276,1754.7807401862194,45,private,9,12,False,0.0,608.4511479558739,434.64523259992706,408.4361836612109,423.22865018379537,423.22865018379537,0.0,249.1635980856251,249.1635980856251,0.0,0.0,156.10438673866997,143.6160357995765,328.83853357165503,341.3268845107485
42,Skoda Enyaq,11.0,11779.665301573883,1666.8226401727045,40,public,19,4,True,5.07303109626213,555.8256000000002,468.35656581999996,467.61031671199993,467.97918104539144,466.3424923470034,1320.0,1304.429565217388,1304.429565217388,5.680564643835787,1.4144605963151105,143.0584689861808,136.417305296606,224.2637242512148,233.95603723549277
43,Tesla Model 3,11.0,8245.759339663862,964.7538427406719,40,public,12,3,False,0.0,334.5179085155155,210.5833986733369,210.01512600499052,211.11433263101495,211.11433263101495,0.0,0.0,0.0,0.0,0.0,85.82400269496105,78.95808247936424,202.3616583638648,209.2275785794616
44,BMW iX1,11.0,14108.647492697875,1963.9237309835444,50,private,18,15,False,0.0,680.9692067214676,617.9876489214847,478.667719603257,490.10267708245806,490.10267708245806,2134.69970759081,8.423913043478262,8.423913043478262,0.0,0.0,174.70963899123544,160.73286787193652,351.599397510946,365.576168630245
45,BMW iX1,11.0,9853.369011172354,1371.5889663551916,40,public,17,6,False,0.0,475.58356550794105,466.27119354283406,393.2922593381971,400.93969552536015,400.93969552536015,1490.8575721252078,1056.3795353006947,1056.3795353006947,0.0,0.0,122.01584479875352,112.25457721485326,186.89844719743417,196.6597147813344
46,Tesla Model 3,11.0,7325.341198424448,857.0649202156604,40,private,18,13,True,3.0778535516510916,297.1779451617342,270.19720139506285,211.3024633267119,212.649879600289,210.86061417851244,931.59230458224,0.0,23.277799059551956,10.327779799255216,2.5716171700145485,77.07256780041529,70.14452771529234,154.67259327673753,165.96151595365163
47,Volvo EX30,11.0,8661.354276005997,1164.9521501228066,40,public,6,6,True,3.34949671978171,403.9344955317121,342.14135043013147,279.996827726368,298.288866026783,278.0644935331838,0.0,0.0,0.0,89.6591106990072,22.325118564052797,110.82618053140064,95.34285729570745,200.98848680063657,259.0213010939818
48,Hyundai Kona Electric,11.0,8713.911098114475,1084.8819317152522,40,public,9,4,False,0.0,376.1710176273535,263.0975764518442,240.4989111230487,245.11968846306922,245.11968846306922,0.0,0.0,0.0,0.0,0.0,96.51053533691108,88.78969250995826,219.8410216742425,227.56186450119532
49,Tesla Model Y,11.0,11064.25956786,1823.389976783328,41,workplace,8,9,True,4.2095053687253525,632.2406549933493,430.81281424212744,387.7328894626952,402.18145592887845,323.1134166968928,0.0,0.0,0.0,377.65360125182144,94.03574671170348,192.5039848298238,149.23120261424435,379.29040167871517,595.6669698379837
50,Volvo EX30,11.0,10350.26739285374,1392.1109643388281,40,private,16,12,False,0.0,482.6993452435721,440.19658796927536,349.70787808408215,356.6359807733876,356.6359807733876,1073.1640916726387,18.592987192327612,18.592987192327612,0.0,0.0,123.8414711214746,113.93415343175658,239.9975179019411,249.90483559165912
