driver,annual_kWh,sessions,cost_unc,cost_po,cost_smart,peak_unc,peak_po,peak_smart,savings_po_eur,savings_smart_eur,savings_po_pct,savings_smart_pct,peak_drop_smart_pct
36,2347.529161675325,132,682.2771131850704,617.2361940101353,616.315550834583,11.0,0.3762238443819776,0.16113820538329507,65.0409191749352,65.9615623504875,9.532918211385551,9.667855051235634,98.53510722378823
37,2767.733138561208,126,881.0388865442685,701.8399909431041,708.698038843358,11.0,0.20438467943973507,0.11587536266954875,179.1988956011644,172.34084770091056,20.339499009407277,19.56109433227056,98.94658761209502
38,2506.635944050178,102,814.5870498733287,655.3681188308017,660.9671757024299,11.0,0.3235294117647059,0.0879156010230179,159.21893104252706,153.6198741708988,19.545968852228402,18.858619738036257,99.20076726342711
39,2803.8217957248207,107,843.3030963936582,718.826101685435,737.3503928407132,11.0,0.205607476635514,0.17523364485981308,124.47699470822317,105.95270355294497,14.7606471789968,12.564012157200205,98.4069668649108
40,2539.5456469517026,103,754.4292944355205,651.4606124910241,669.3751794657454,11.0,0.0,0.09497678345293373,102.96868194449644,85.05411496977513,13.648552979579048,11.273967699440192,99.13657469588242
41,3343.1199563116684,129,1042.9223630739516,870.8277621856599,873.645330057915,11.0,0.5323781117647268,0.1165429487033948,172.09460088829167,169.27703301603663,16.50119001965334,16.231029174319612,98.94051864815096
42,3179.0876054641785,138,1035.38839020518,794.0824890792161,826.1472278938762,11.0,0.18144980077396158,0.12463558138409206,241.30590112596394,209.2411623113038,23.305834159309534,20.208953885395513,98.86694926014462
43,2726.507648462689,86,812.6909437806439,720.8656147346047,709.8130463151444,11.0,0.40070244322176035,0.28379142198819124,91.8253290460392,102.87789746549947,11.29892362511967,12.658920128592891,97.42007798192553
44,2902.341087477644,110,860.563647584014,738.9092316070382,777.4305236534138,11.0,0.2821616297550244,0.20523555290651171,121.65441597697577,83.13312393060016,14.13659713822609,9.66031090948263,98.13422224630443
45,3080.67251153768,79,934.1130054551369,816.5436515525582,807.5781437219267,11.0,0.5569620253164557,0.7119112431597777,117.56935390257865,126.53486173321016,12.586202441887018,13.545990794931429,93.52807960763838
47,2761.454450645832,97,902.2220922261484,698.9036954284257,724.0237617070896,11.0,0.1134020618556701,0.1285141481844201,203.3183967977227,178.1983305190588,22.535293532444282,19.751049331919056,98.8316895619598
48,3290.2183378135064,104,1037.1002002308342,870.6990042314234,877.123403673171,11.0,0.5421897448439416,0.42732770471016235,166.4011959994108,159.9767965576632,16.044852364542383,15.42539443363873,96.11520268445307
49,2309.2279212400554,114,742.0168719001689,590.5271634781748,598.7684115686328,11.0,0.3862773698328675,0.09546882673599491,151.48970842199412,143.24846033153608,20.415938526310974,19.305283445200253,99.13210157512732
50,2596.5160087403997,103,779.287834024361,654.8866909978974,679.7067341116789,11.0,0.26602884433032653,0.19172421462097394,124.40114302646361,99.58109991268213,15.963439642582019,12.778474854205047,98.25705259435478
51,2109.8322377311506,109,633.4235244772681,539.9915930978301,553.9570075759738,11.0,0.19302212865729632,0.15064079638765138,93.43193137943797,79.46651690129431,14.750309669433662,12.54555819771202,98.63053821465772
52,3026.7018925235484,138,911.841709284366,772.3972387825717,787.2760998402738,11.0,0.4118826591807729,0.12602394454946442,139.44447050179429,124.56560944409216,15.292618124612162,13.660880849797282,98.85432777682304
54,2943.3416210610617,78,896.7598256484233,771.9784819010687,774.8667718478058,11.0,1.4747811869554717,0.5287151052375878,124.78134374735464,121.89305380061751,13.914689326891796,13.592608668935394,95.19349904329466
55,3286.6458929637674,107,920.6774589576728,862.0756498950667,860.1582729177247,11.0,0.4148345871258708,0.24565860944068926,58.601809062606094,60.51918603994807,6.365074814468794,6.573332001465931,97.76673991417555
56,3045.314219133489,144,974.7045243718092,781.9551794992061,799.9858215312308,11.0,0.16648573989506682,0.07170893719806765,192.74934487260305,174.71870284057832,19.775156475941134,17.925299254477494,99.34810057092666
57,2744.970656433176,119,869.2985342521373,673.3362849503599,699.3564618500909,11.0,0.6062656248842005,0.05023748629886738,195.96224930177743,169.9420724020464,22.54257215219682,19.549333825605558,99.54329557910121
58,2460.978320106727,94,785.8564530907049,639.2397974121095,644.9714389388442,11.0,0.5775104316990812,0.17923219241443109,146.6166556785954,140.88501415186067,18.656925842113388,17.927576162004165,98.37061643259608
59,2512.767693460233,124,824.2268925282686,639.2380616124545,661.3881821612835,11.0,0.17826983143131955,0.07025118857311743,184.9888309158141,162.8387103669852,22.44392079326258,19.75653935137773,99.36135283115348
60,3332.038493969538,89,959.0808671301157,870.9889202931662,880.7075420229204,11.0,0.29649816227901005,0.5313207016952943,88.09194683694955,78.37332510719534,9.185038494256435,8.171711874694571,95.16981180277006
61,2882.322485013277,79,838.9896249521844,751.834095508611,786.3137628253382,11.0,0.13924050632911392,0.5531822267612896,87.15552944357341,52.67586212684614,10.38815342305819,6.278487905002191,94.97107066580645
62,2773.599111127223,127,793.366008220188,674.690628778175,716.5273818128429,11.0,0.027376978427625973,0.13357970146326298,118.67537944201297,76.83862640734503,14.958465350468636,9.685142243454866,98.7856390776067
63,3235.365967973718,118,955.1375694924072,849.72291794824,852.6620337834597,11.0,0.571251538157541,0.2310861396609105,105.41465154416721,102.47553570894752,11.036593566326594,10.728877073007036,97.89921691217354
64,2890.0696308177244,137,873.282167190111,728.7464207591528,741.590261645789,11.0,0.0067867245723014545,0.11533002455790728,144.53574643095817,131.6919055443219,16.550864298078945,15.080109326869259,98.95154523129175
65,3202.880112879424,105,990.332480328713,823.6889492661488,848.1657409307629,11.0,0.9443438936093289,0.2148407880192669,166.6435310625642,142.1667393979501,16.827028737586346,14.355455589092852,98.04690192709758
66,2855.8762704618816,145,923.4601580843228,720.1932133525701,733.8487924776897,10.408367844541832,0.14356369440747366,0.08914090580177655,203.2669447317527,189.61136560663306,22.01144715906542,20.53270668438728,99.14356499373221
67,2729.0350034947855,111,876.3703589053698,704.3026313515288,720.834907168415,11.0,0.42496771246725773,0.11674306565580604,172.067727553841,155.53545173695477,19.634133651982726,17.747685114684423,98.93869940312904
68,2082.7552284953845,136,635.5878786311013,532.5705227497307,536.6281977611238,11.0,0.28416221771190153,0.07044738395231075,103.01735588137058,98.95968086997743,16.208200210369718,15.569787309838578,99.35956923679717
69,2719.41254083093,85,709.7773270905644,624.0235290447634,652.9229089922452,0.0,0.12941176470588237,0.22049985569895145,85.75379804580098,56.85441809831923,12.081788861488834,8.010176703075338,
70,2723.9963440835313,85,857.7312367082925,702.0529753092662,692.8427725690913,11.0,0.7333511924678987,0.2032103252972158,155.67826139902627,164.88846413920123,18.150004889232125,19.223791449171447,98.15263340638894
71,2809.4392835841745,139,839.2496686461196,736.7598388859782,740.1207603747412,11.0,0.39502174086050346,0.10135903508821077,102.48982976014145,99.12890827137846,12.21207866849425,11.811611249283368,99.07855422647081
72,3214.4906538690057,143,927.8587265731734,831.4908923732362,833.7921181559162,11.0,0.05105554016710796,0.09105317438021875,96.36783419993719,94.06660841725716,10.386046004637903,10.138031332061717,99.17224386927074
73,2780.416932292617,152,790.6619150984881,716.9594715165583,723.0718941795723,11.0,0.13080818549642337,0.0759914901277141,73.70244358192974,67.5900209189158,9.321612964341284,8.548536312198179,99.30916827156624
74,2521.3308083908796,103,744.6382379352659,657.048921898333,664.5230889727259,11.0,0.40985521079126397,0.10750126278883788,87.58931603693293,80.11514896254005,11.762666966955756,10.75893566581854,99.02271579282875
75,2503.4350053864364,79,744.7710578530033,652.1271366127708,667.0443788146894,11.0,0.17581317284243614,0.2537018533447184,92.64392124023254,77.72667903831393,12.439248311729889,10.436318412047502,97.69361951504801
76,2639.2191086957387,155,755.1914682667688,676.5857381469126,677.383361735951,11.0,0.21628092684645597,0.15446858384362938,78.60573011985616,77.80810653081778,10.408715328877227,10.303096605340931,98.5957401468761
77,3028.083951406955,125,847.7875320167792,792.7596590197909,784.3763727524436,11.0,0.6319479550762339,0.11020882464145142,55.02787299698832,63.41115926433565,6.490762239223309,7.4796050743384415,98.99810159416862
78,2996.1477040883224,97,996.6876846492728,763.3946584671743,780.677831434785,11.0,0.232722105117709,0.17803810691062705,233.29302618209852,216.00985321448775,23.406833431898242,21.672772378089537,98.38147175535794
79,3062.807795143443,138,841.5639390036605,796.9265096325919,810.7499845605055,0.0,0.0,0.0,44.637429371068606,30.813954443155012,5.304104335068764,3.6615107914006026,
80,2873.753096771427,149,928.1901253081123,728.5558671091405,745.5783092029407,9.964058190628995,0.3552222575923359,0.10969458371300486,199.6342581989718,182.61181610517167,21.507905843396394,19.673966693467435,98.89909731944189
81,2981.612561828548,100,838.878077927348,765.8547624008927,778.0996791611606,11.0,0.752264965813657,0.20452310454658132,73.02331552645535,60.77839876618748,8.704878271092408,7.245200508321218,98.14069904957653
82,3494.2531942302176,138,1141.5585372444816,897.7773746845625,910.5692781031684,11.0,0.4388943443724516,0.19156171487483323,243.78116255991915,230.98925914131325,21.35511711456894,20.234552290141867,98.25852986477425
83,2648.902263790169,140,860.8658574942043,677.2401548566467,681.6653342742137,11.0,0.0,0.04270186335403728,183.62570263755765,179.2005232199906,21.330350255968177,20.81631204908101,99.61180124223603
84,2538.036533500661,117,799.3319328091425,612.8947903948746,651.1811065992771,11.0,0.13450259971525713,0.062175956377276985,186.4371424142679,148.1508262098654,23.32412040127812,18.534330999289573,99.43476403293384
85,2505.5451247315914,127,802.8798060746384,628.8503692860087,644.619509823622,11.0,0.6710331123562174,0.057406740320782114,174.0294367886297,158.26029625101637,21.675652503888156,19.71158012116,99.47812054253833
86,3276.4142927532835,99,1009.3414367607447,843.0365803443752,834.9740930032904,11.0,0.3333333333333333,0.2951292870529108,166.3048564163695,174.36734375745436,16.476570797498187,17.27535771413956,97.31700648133717
87,2961.691538876768,151,971.1540479711603,757.1552713618782,776.9982246603564,11.0,0.5009192520996187,0.08720019616210427,213.998776609282,194.15582331080384,22.03551301220926,19.992278641726834,99.20727094398087
88,2453.7909049047867,155,771.6330597764575,622.381309847472,640.4346054122047,11.0,0.20024225329249118,0.05548259556664585,149.25174992898542,131.1984543642527,19.34232185078018,17.00270001420895,99.49561276757595
89,2825.0514408872828,155,892.9247029303698,735.5886583854273,737.2616916547123,11.0,0.07096774193548387,0.059607293127629746,157.33604454494252,155.66301127565748,17.620303708543673,17.43293815982556,99.45811551702155
90,2319.448405938283,136,679.9935941829283,588.0107044753343,602.3879378561887,11.0,0.13630728653071186,0.079923273657289,91.98288970759404,77.60565632673956,13.52702297410897,11.412704029953332,99.27342478493374
91,3167.520174257411,81,851.7464656434157,821.3423274698133,840.428309639231,0.0,0.0,0.0,30.404138173602405,11.318156004184743,3.569623050990284,1.3288174897955018,
92,2664.932745063909,106,803.5266112608413,684.3671270664237,695.5181051125096,11.0,0.20754716981132076,0.17833136744701705,119.15948419441759,108.00850614833166,14.829562894928936,13.441808228211857,98.37880575048167
93,2575.965001602608,113,829.4853294372729,679.1558709476881,678.8098376579151,11.0,0.46314401086937995,0.10821469796075414,150.3294584895848,150.6754917793578,18.123220888254778,18.164937513913216,99.0162300185386
94,2671.205655632219,153,859.3020027369829,698.8123689460898,705.8698999922816,11.0,0.10427480099926438,0.06571469167377096,160.4896337908931,153.4321027447013,18.676743831588176,17.855434091390585,99.40259371205663
95,2941.6969343973406,121,806.5268145659277,711.9034732903066,758.3792908473262,0.0,0.0,0.0,94.6233412756211,48.14752371860152,11.732200289775529,5.969736262831446,
96,2533.104454417445,120,846.8166843432082,644.934835861235,662.1147412409163,11.0,0.2828732227066308,0.1546885086996026,201.88184848197318,184.70194310229192,23.84008867734496,21.811325463615177,98.59374083000361
97,2538.276344309975,89,813.1930409115253,640.6600462069164,665.4839047441629,11.0,0.0,0.12823644357596484,172.53299470460888,147.70913616736232,21.2167328081427,18.16409250155314,98.8342141493094
98,2597.8121405436127,140,738.8169611489806,685.5122609281049,711.8190368714374,0.0,0.0,0.0,53.3047002208757,26.99792427754312,7.214872292316925,3.6542101355600924,
100,2971.99265907694,85,908.727890461437,787.6823051550931,793.7831854708618,11.0,0.5060004991957092,0.3850189012047179,121.04558530634392,114.94470499057525,13.320333465816592,12.648968541309788,96.4998281708662
