voedingsgebied_id;jaar;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;info;congestie_url;jaartal_opgelost_invoeding;jaartal_opgelost_afname;kwartaal;start;eind;RNB
CM15;2025;;28,0;;35,0;19,0;20,0;1,626;1,676;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
CM14;2025;;40,0;;44,2;9,0;34,0;1,486;7,23;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2030,0;;;;Stedin
CM13;2025;;28,0;;42,1;19,0;22,0;1,697;5,474;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2033,0;;;;Stedin
CM52;2025;;;;;0,0;6,0;0,0;3,525;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM51;2025;;;;;0,0;3,0;0,0;0,247;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM50;2025;;;;;0,0;0,0;0,0;0,0;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM49;2025;;;;;0,0;7,0;0,0;0,298;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM48;2025;;117,0;;165,0;0,0;2,0;0,0;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2031,0;;;;Stedin
CM47;2025;;120,0;;147,8;0,0;24,0;0,0;5,114;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2031,0;;;;Stedin
CM44;2025;140,0;;289,2;;3,0;10,0;43,197;137,648;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2035,0;;;;;Stedin
CM43;2025;100,0;;100,0;;0,0;19,0;0,0;34,117;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2034,0;;;;;Stedin
CM41;2025;70,0;;89,8;;1,0;2,0;;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2035,0;;;;;Stedin
CM40;2025;45,0;;64,8;;10,0;10,0;1,129;1,456;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2030,0;;;;;Stedin
CM39;2025;200,0;;196,9;;66,0;155,0;23,904;45,143;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2035,0;;;;;Stedin
CM38;2025;;59,3;;63,0;33,0;47,0;3,364;5,916;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2031,0;;;;Stedin
CM37;2025;;42,1;;55,5;16,0;39,0;2,067;7,215;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2032,0;;;;Stedin
CM36;2025;;20,4;;30,5;3,0;11,0;0,158;2,26;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2032,0;;;;Stedin
CM35/72;2025;18,0;;26,0;;3,0;5,0;0,637;1,7;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2027,0;2032,0;;;;Stedin
CM34/46;2025;18,0;18,0;24,3;21,1;5,0;24,0;0,241;6,85;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2028,0;2028,0;;;;Stedin
TT032_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
DDV;2025;43,19;43,19;27,5711247;18,15527711813207;13,0;21,0;1,24;13,766;;;2028,0;2025,0;;;;Enexis
CVD;2025;154,39;156,6;99,13941171423856;73,66399368601498;10,0;28,0;51,206;31,347;;;;2025,0;;;;Enexis
CU;2025;41,47;41,47;42,81655465031281;28,02655785232941;7,0;19,0;4,69;16,772;;;2031,0;2031,0;;;;Enexis
CM76;2025;;;;;0,0;37,0;0,0;3,055;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2029,0;;;;Stedin
CM66;2025;;26,1;;30,8;;;;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2027,0;;;;Stedin
CM63;2025;;225,0;;375,0;0,0;28,0;0,0;17,586;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2035,0;;;;Stedin
CM60;2025;;;;;24,0;85,0;18,865;22,959;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM59;2025;;;;;4,0;27,0;0,331;3,86;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM58;2025;;;;;6,0;8,0;4,525;0,622;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2028,0;;;;Stedin
CM57;2025;;;;;15,0;37,0;1,53;5,556;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2028,0;;;;Stedin
CM56/78;2025;3,0;100,0;4,5;136,0;0,0;10,0;0,0;1,013;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;2028,0;2034,0;;;;Stedin
CM56;2025;;100,0;;136,0;0,0;9,0;0,0;0,909;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM55;2025;;;;;0,0;2,0;0,0;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM54;2025;;;;;0,0;1,0;0,0;;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
CM53;2025;;;;;0,0;9,0;0,0;1,917;Als er nog geen netuitbreiding is aangegeven betekent dit niet dat deze niet in ontwikkeling is. Congestie einddatum kan afwijken van einddatum van laatst te realiseren netuitbreiding.;;;2034,0;;;;Stedin
DTO;2025;132,43;158,91;117,4181993107173;64,26221778459262;12,0;24,0;59,612;69,193;;;2028,0;2025,0;;;;Enexis
TT047_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT046_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT045_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT044_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT043_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT042_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT041_23;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT041_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT040_13;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT039_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT038_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT037_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT035_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT034_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
TT033_10;2025;;;;;0,0;5,0;0,0;0,24;;;;;;;;Stedin
TT029_10;2025;;;;;0,0;0,0;0,0;0,0;;;;;;;;Stedin
