car,kwh,is_dc,stored_kwh,self_cons_value,arbitrage_value,backup,gross,capex_yr,net_vs_nothing,net_adv_vs_battery
Renault 5 E-Tech,52.0,False,1891.131239825137,624.0733091422952,0.0,38.71959318177187,662.7929023240671,561.2208453651344,101.57205695893265,151.57205695893265
VW ID.7 (77 kWh),77.0,True,0.0,0.0,0.0,40.2245131727638,40.2245131727638,923.1914482591197,-882.966935086356,-832.966935086356
VW ID.7 (77 kWh),77.0,True,3218.0537044071607,1061.957722454363,892.2415251736245,43.2684853344856,1997.467732962473,786.2566469176663,1211.2110860448067,1261.2110860448067
Renault 5 E-Tech,52.0,False,942.0535168726045,310.8776605679595,0.0,3.576862043601856,314.45452261156134,588.1649483850235,-273.7104257734622,-223.7104257734622
Renault 5 E-Tech,52.0,False,0.0,0.0,650.788043319604,25.64727315995159,676.4353164795556,542.5332268043751,133.9020896751805,183.9020896751805
Hyundai Ioniq 5/6,77.4,True,1249.9994818301193,412.4998290039394,619.5470123283087,23.33642115784051,1055.3832624900886,994.0,61.383262490088555,111.38326249008855
Renault 5 E-Tech,52.0,False,1248.7839835806194,412.09871458160444,0.0,14.440086572222478,426.5388011538269,626.1757941140173,-199.6369929601904,-149.6369929601904
VW ID.7 (77 kWh),77.0,True,0.0,0.0,290.0464870137493,25.326542183973345,315.37302919772264,994.0,-678.6269708022774,-628.6269708022774
Renault 5 E-Tech,52.0,False,1220.0602196985535,402.61987250052266,247.34806261475256,18.892566320325525,668.8605014356007,555.8338950153759,113.02660642022477,163.02660642022477
Nissan Leaf (new),52.0,True,0.0,0.0,1050.7150951824756,19.113719598659166,1069.8288147811347,900.126588633253,169.70222614788167,219.70222614788167
Renault 4 E-Tech,52.0,False,1622.0898829545479,535.2896613750008,0.0,31.775830363529266,567.0654917385301,612.9318465143385,-45.86635477580842,4.133645224191582
Nissan Leaf (new),52.0,True,0.0,0.0,0.0,16.15770379956041,16.15770379956041,854.8864590684974,-838.728755268937,-788.728755268937
Kia EV6 (post-24),77.4,True,0.0,0.0,0.0,13.822603411067277,13.822603411067277,985.8783389113778,-972.0557355003106,-922.0557355003106
Renault 5 E-Tech,52.0,False,1779.1245227954157,587.1110925224872,0.0,0.0,587.1110925224872,541.7959406246973,45.31515189778986,95.31515189778986
VW ID.7 (77 kWh),77.0,True,0.0,0.0,803.4272908054573,26.293278637005457,829.7205694424628,863.0547925347835,-33.33422309232071,16.665776907679287
Kia EV9,99.8,True,1677.8653927382977,553.6955796036383,0.0,34.194218443845024,587.8897980474833,881.133650022507,-293.24385197502374,-243.24385197502374
Renault 4 E-Tech,52.0,False,1318.0448632986165,434.9548048885435,246.3711324192172,14.820136873888073,696.1460741816487,546.6704966759771,149.4755775056716,199.4755775056716
Hyundai Ioniq 5/6,77.4,True,1481.4938524702056,488.89297131516787,886.8105600351727,11.688678762717588,1387.3922101130584,858.873622344487,528.5185877685714,578.5185877685714
Renault 5 E-Tech,52.0,False,1337.2224768094843,441.28341734712984,643.6894702904995,25.43096925539618,1110.4038568930255,689.5,420.9038568930255,470.9038568930255
Renault 4 E-Tech,52.0,False,2181.670379251043,719.9512251528442,349.69802717712497,12.729565930151187,1082.3788182601204,611.1134665169258,471.2653517431946,521.2653517431946
VW ID.7 (77 kWh),77.0,True,1104.5648991561277,364.50641672152216,764.8061805087957,23.628766222329233,1152.941363452647,971.9230986694365,181.0182647832105,231.0182647832105
Renault 5 E-Tech,52.0,False,958.2794098013597,316.2322052344487,511.18330911576146,14.355111796246401,841.7706261464566,610.3333544733263,231.43727167313034,281.43727167313034
Kia EV9,99.8,True,0.0,0.0,1336.3520005070816,34.271290367948794,1370.6232908750303,814.1149633638494,556.5083275111809,606.5083275111809
Renault 5 E-Tech,52.0,False,1552.738201295497,512.403606427514,0.0,13.994706554549369,526.3983129820633,521.7886680231836,4.609644958879699,54.6096449588797
Kia EV6 (post-24),77.4,True,2187.0326615584695,721.720778314295,0.0,57.966030172319805,779.6868084866148,803.7255635061742,-24.038755019559403,25.961244980440597
Hyundai Ioniq 5/6,77.4,True,0.0,0.0,1238.1535460193638,21.849552089189075,1260.0030981085529,880.7670318017169,379.23606630683594,429.23606630683594
Hyundai Ioniq 5/6,77.4,True,2154.9492848078517,711.133263986591,0.0,2.45934569895042,713.5926096855414,874.2392713355312,-160.6466616499897,-110.64666164998971
Renault 5 E-Tech,52.0,False,1555.4913319385762,513.3121395397302,0.0,15.995388216011081,529.3075277557413,461.9539124749168,67.35361528082444,117.35361528082444
Renault 5 E-Tech,52.0,False,0.0,0.0,1143.994564612044,41.840993400418036,1185.8355580124621,540.328091326841,645.5074666856211,695.5074666856211
